coso,site,channel,origen
"/100151972/","sin identificar","any","amazonPrisa"
"/7811748/as_mob/50aniversario/especiales","as","mob","amazonPrisa"
"/7811748/as_mob/apuestas/noticias","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/actualidad/portada","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/directo","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/fotogalerias","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/infografia","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/portada","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/argentina/videos","as","mob","amazonPrisa"
"/7811748/as_mob/ascolor/opinion","as","mob","amazonPrisa"
"/7811748/as_mob/ascolor/portada","as","mob","amazonPrisa"
"/7811748/as_mob/baloncesto","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/acb","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/acb/portada","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/copa_del_rey","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/directo","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/eurobasket","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/eurobasket_femenino","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/eurocup","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/euroliga","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/euroliga/portada","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/infografia","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/mas_baloncesto","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/mundial","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/portada","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/reportajes","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/baloncesto/videos","as_baloncesto","mob","amazonPrisa"
"/7811748/as_mob/buenavida/fotorrelato","as_buenavida","mob","amazonPrisa"
"/7811748/as_mob/buenavida/portada","as_buenavida","mob","amazonPrisa"
"/7811748/as_mob/buscador","as","mob","amazonPrisa"
"/7811748/as_mob/chile/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/chile/actualidad/portada","as","mob","amazonPrisa"
"/7811748/as_mob/chile/deporte_femenino","as","mob","amazonPrisa"
