coso	site	origen
abc.es	abc	criteoDomain
abc.es.	abc	criteoDomain
abcfoto.abc.es	abc	criteoDomain
ciencia.abc.es	abc	criteoDomain
des-www.abc.es	abc	criteoDomain
docker.abc.es	abc	criteoDomain
espana.abc.es	abc	criteoDomain
especiales.abc.es	abc	criteoDomain
hemeroteca.abc.es	abc	criteoDomain
horoscopo.abc.es	abc	criteoDomain
local-www.abc.es	abc	criteoDomain
mejorcoche-2020.abc.es	abc	criteoDomain
pre-mejorcoche-2020.abc.es	abc	criteoDomain
pre-static1.abc.es	abc	criteoDomain
pre-xl.abc.es	abc	criteoDomain
sev.abc.es	abc	criteoDomain
tienda.abc.es	abc	criteoDomain
abcblogs.abc.es	abc	criteoDomain
agencias.abc.es	abc	criteoDomain
cabeceras.abc.es	abc	criteoDomain
des-fibabc.abc.es	abc	criteoDomain
desn.abc.es	abc	criteoDomain
docker-www.abc.es	abc	criteoDomain
fibabc.abc.es	abc	criteoDomain
fibabc2020.abc.es	abc	criteoDomain
fibabc9.abc.es	abc	criteoDomain
hoycinema.abc.es	abc	criteoDomain
interno-guia-restaurantes.abc.es	abc	criteoDomain
laguiatv.abc.es	abc	criteoDomain
mejorcoche.abc.es	abc	criteoDomain
new2-www.abc.es	abc	criteoDomain
new-www.abc.es	abc	criteoDomain
pre2-www.abc.es	abc	criteoDomain
pre3-www.abc.es	abc	criteoDomain
pre-abcblogsv2.abc.es	abc	criteoDomain
pre-mejorcoche.abc.es	abc	criteoDomain
pren.abc.es	abc	criteoDomain
pre-www.abc.es	abc	criteoDomain
secure.abc.es	abc	criteoDomain
ver.abc.es	abc	criteoDomain
www-new.abc.es	abc	criteoDomain
estaticos.sevillasolidaria.abc.es	abcsevilla	criteoDomain
sevilla.abc.es	abcsevilla	criteoDomain
sevilla.abc.es.	abcsevilla	criteoDomain
sevillasolidaria-renew.sevilla.abc.es	abcsevilla	criteoDomain
static-sevilla.abc.es	abcsevilla	criteoDomain
tienda-sevilla.abc.es	abcsevilla	criteoDomain
xl-sevilla.abc.es	abcsevilla	criteoDomain
agronoma.sevilla.abc.es	abcsevilla	criteoDomain
alfinaldelapalmera-origin.sevilla.abc.es	abcsevilla	criteoDomain
docker-sevilla.abc.es	abcsevilla	criteoDomain
gurmehuelva-sevilla.abc.es	abcsevilla	criteoDomain
new2-sevilla.abc.es	abcsevilla	criteoDomain
new-sevilla.abc.es	abcsevilla	criteoDomain
pre2-sevilla.abc.es	abcsevilla	criteoDomain
pre3-sevilla.abc.es	abcsevilla	criteoDomain
pren.sevilla.abc.es	abcsevilla	criteoDomain
pre-sevilla.abc.es	abcsevilla	criteoDomain
sevillasolidaria.sevilla.abc.es	abcsevilla	criteoDomain
static4-sevilla.abc.es	abcsevilla	criteoDomain
argentina.as.com	as	criteoDomain
as.com	as	criteoDomain
as.com.	as	criteoDomain
baloncesto.as.com	as	criteoDomain
ciclismo.as.com	as	criteoDomain
opinion.as.com	as	criteoDomain
parrillatv.int.as.com	as	criteoDomain
resultados.as.com	as	criteoDomain
sa.as.com	as	criteoDomain
servicios.as.com	as	criteoDomain
tenis.as.com	as	criteoDomain
za.as.com	as	criteoDomain
dispatcher.results.as.com	as	criteoDomain
dispatcher.results.dev.as.com	as	criteoDomain
dispatcher.results.int.as.com	as	criteoDomain
en.as.com	as	criteoDomain
entradas.as.com	as	criteoDomain
esports.as.com	as_esports	criteoDomain
local-arc.be.as.com	as	criteoDomain
masdeporte.as.com	as	criteoDomain
movil.as.com	as	criteoDomain
chile.as.com	as	criteoDomain
colombia.as.com	as	criteoDomain
futbol.as.com	as_futbol	criteoDomain
juegos.as.com	as_juegos	criteoDomain
mexico.as.com	as	criteoDomain
motor.as.com	as_motor	criteoDomain
peru.as.com	as	criteoDomain
us.as.com	as	criteoDomain
biwenger.as.com	biwenger	criteoDomain
blogs.burgosconecta.es	burgosconecta	criteoDomain
pre-www.burgosconecta.es	burgosconecta	criteoDomain
proyectos.burgosconecta.es	burgosconecta	criteoDomain
burgosconecta.es	burgosconecta	criteoDomain
burgosconecta.es.	burgosconecta	criteoDomain
dia-de-la-mujer.burgosconecta.es	burgosconecta	criteoDomain
leer.burgosconecta.es	burgosconecta	criteoDomain
local-www.burgosconecta.es	burgosconecta	criteoDomain
loteria.burgosconecta.es	burgosconecta	criteoDomain
new-www.burgosconecta.es	burgosconecta	criteoDomain
play.cadenadial.com	cadenadial	criteoDomain
pre.cadenadial.com	cadenadial	criteoDomain
pre.play.cadenadial.com	cadenadial	criteoDomain
cadenadial.com	cadenadial	criteoDomain
dev.play.cadenadial.com	cadenadial	criteoDomain
local.cadenadial.com	cadenadial	criteoDomain
local.play.cadenadial.com	cadenadial	criteoDomain
cadenaser.com	cadenaser	criteoDomain
play.cadenaser.com	cadenaser	criteoDomain
playser-pre.cadenaser.com	cadenaser	criteoDomain
res.cadenaser.com	cadenaser	criteoDomain
blogs.canarias7.es	canarias7	criteoDomain
canarias7.es	canarias7	criteoDomain
cartelera.canarias7.es	canarias7	criteoDomain
new-www.canarias7.es	canarias7	criteoDomain
local.alacarta.caracol.com.co	caracol	criteoDomain
locarac.caracol.com.co	caracol	criteoDomain
caracol.com.co	caracol	criteoDomain
dev.alacarta.caracol.com.co	caracol	criteoDomain
alacarta.caracol.com.co	caracol	criteoDomain
pre.alacarta.caracol.com.co	caracol	criteoDomain
codigounico.com	codigounico	criteoDomain
local.codigounico.com	codigounico	criteoDomain
pre-www.codigounico.com	codigounico	criteoDomain
elpoderdelquerer.diariosur.es	diariosur	criteoDomain
eventos.diariosur.es	diariosur	criteoDomain
local-www.diariosur.es	diariosur	criteoDomain
loteria.diariosur.es	diariosur	criteoDomain
malagacf.diariosur.es	diariosur	criteoDomain
malagaenlamesa.com	diariosur	criteoDomain
blogs.diariosur.es	diariosur	criteoDomain
blogs-new.diariosur.es	diariosur	criteoDomain
diariosur.es	diariosur	criteoDomain
diariosur.es.	diariosur	criteoDomain
agenda.diariosur.es	diariosur	criteoDomain
app.diariosur.es	diariosur	criteoDomain
areapersonal.diariosur.es	diariosur	criteoDomain
new-www.diariosur.es	diariosur	criteoDomain
podcast.diariosur.es	diariosur	criteoDomain
pre-blogs.diariosur.es	diariosur	criteoDomain
pre-preview-www.diariosur.es	diariosur	criteoDomain
preview-www.diariosur.es	diariosur	criteoDomain
pre-www.diariosur.es	diariosur	criteoDomain
pre-www.malagaenlamesa.com	diariosur	criteoDomain
proyectos.diariosur.es	diariosur	criteoDomain
secure.diariosur.es	diariosur	criteoDomain
unicaja.diariosur.es	diariosur	criteoDomain
foros.diariovasco.com	diariovasco	criteoDomain
fotolector.diariovasco.com	diariovasco	criteoDomain
guiagastronomika.diariovasco.com	diariovasco	criteoDomain
local-real-sociedad.diariovasco.com	diariovasco	criteoDomain
local-www.diariovasco.com	diariovasco	criteoDomain
mendiz-mendi.diariovasco.com	diariovasco	criteoDomain
des-eguraldia.diariovasco.com	diariovasco	criteoDomain
des-mendiz-mendi.diariovasco.com	diariovasco	criteoDomain
des-www.diariovasco.com	diariovasco	criteoDomain
diariovasco.com	diariovasco	criteoDomain
diariovasco.com.	diariovasco	criteoDomain
agenda.diariovasco.com	diariovasco	criteoDomain
app2.diariovasco.com	diariovasco	criteoDomain
areapersonal.diariovasco.com	diariovasco	criteoDomain
blogs.diariovasco.com	diariovasco	criteoDomain
blogs.diariovasco.com.	diariovasco	criteoDomain
blogs-new.diariovasco.com	diariovasco	criteoDomain
cdn.diariovasco.com	diariovasco	criteoDomain
clasica-san-sebastian.diariovasco.com	diariovasco	criteoDomain
concursos.diariovasco.com	diariovasco	criteoDomain
new-clasica-san-sebastian.diariovasco.com	diariovasco	criteoDomain
new-real-sociedad.diariovasco.com	diariovasco	criteoDomain
new-sdeibar.diariovasco.com	diariovasco	criteoDomain
new-tamborrada.diariovasco.com	diariovasco	criteoDomain
new-vueltapaisvasco.diariovasco.com	diariovasco	criteoDomain
new-www.diariovasco.com	diariovasco	criteoDomain
playas.diariovasco.com	diariovasco	criteoDomain
pre-blogs.diariovasco.com	diariovasco	criteoDomain
pre-preview-www.diariovasco.com	diariovasco	criteoDomain
preview-www.diariovasco.com	diariovasco	criteoDomain
pre-www.diariovasco.com	diariovasco	criteoDomain
real-sociedad.diariovasco.com	diariovasco	criteoDomain
sdeibar.diariovasco.com	diariovasco	criteoDomain
tamborrada.diariovasco.com	diariovasco	criteoDomain
vueltapaisvasco.diariovasco.com	diariovasco	criteoDomain
ww.diariovasco.com	diariovasco	criteoDomain
elbierzonoticias.com	elbierzonoticias	criteoDomain
local-www.elbierzonoticias.com	elbierzonoticias	criteoDomain
new-www.elbierzonoticias.com	elbierzonoticias	criteoDomain
elcomercio.es	elcomercio	criteoDomain
elcomercio.es.	elcomercio	criteoDomain
esquelas.elcomercio.es	elcomercio	criteoDomain
hemeroteca.elcomercio.es	elcomercio	criteoDomain
leer.elcomercio.es	elcomercio	criteoDomain
local-hemeroteca.elcomercio.es	elcomercio	criteoDomain
local-www.elcomercio.es	elcomercio	criteoDomain
loteria.elcomercio.es	elcomercio	criteoDomain
mejorweb.elcomercio.es	elcomercio	criteoDomain
blogs.elcomercio.es	elcomercio	criteoDomain
blogs-new.elcomercio.es	elcomercio	criteoDomain
canales.elcomercio.es	elcomercio	criteoDomain
clasificaciones.elcomercio.es	elcomercio	criteoDomain
agenda.elcomercio.es	elcomercio	criteoDomain
app.elcomercio.es	elcomercio	criteoDomain
areapersonal.elcomercio.es	elcomercio	criteoDomain
new-www.elcomercio.es	elcomercio	criteoDomain
pre-blogs.elcomercio.es	elcomercio	criteoDomain
pre-hemeroteca.elcomercio.es	elcomercio	criteoDomain
