coso,publisher,site,canal,formato,origen
"abc.es","vocento","abc","amp","oustream","invibes"
"adra-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"alaves-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"alcalalareal-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"almanzora-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"andujar-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"armilla-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"arroyodelaluz-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"athletic-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"baskonia-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"baza-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"bilbaobasket-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"blogs-mujerhoy-com.cdn.ampproject.org","vocento","mujerhoy","amp","oustream","invibes"
"burgosconecta.es","vocento","burgosconecta","amp","oustream","invibes"
"calamonte-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"campanario-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"canarias7.es","canarias7","canarias7","amp","oustream","invibes"
"casardecaceres-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"castuera-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"cazorla-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"churrianadelavega-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"clasica--san--sebastian-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"coria-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"cosaspracticas-lasprovincias-es.cdn.ampproject.org","vocento","lasprovincias","amp","oustream","invibes"
"diariosur.es","vocento","diariosur","amp","oustream","invibes"
"diariovasco.com","vocento","diariovasco","amp","oustream","invibes"
"digitales-larioja-com.cdn.ampproject.org","vocento","larioja","amp","oustream","invibes"
"elbierzonoticias.com","vocento","elbierzonoticias","amp","oustream","invibes"
"elcomercio.es","vocento","elcomercio","amp","oustream","invibes"
"elcorreo.com","vocento","elcorreo","amp","oustream","invibes"
"eldiariomontanes.es","vocento","eldiariomontanes","amp","oustream","invibes"
"elejido-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"elnortedecastilla.es","vocento","elnortedecastilla","amp","oustream","invibes"
"fashion-hola-com.cdn.ampproject.org","vocento","hola","amp","oustream","invibes"
"fccartagena-laverdad-es.cdn.ampproject.org","vocento","laverdad","amp","oustream","invibes"
"fregenal-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"fuentedecantos-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"gourmet-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"guadix-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"guarena-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"herreradelduque-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"hola.com","hola","hola","amp","oustream","invibes"
"hoy.es","vocento","hoy","amp","oustream","invibes"
"huetorvega-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"ideal.es","vocento","ideal","amp","oustream","invibes"
"innovando-larioja-com.cdn.ampproject.org","vocento","larioja","amp","oustream","invibes"
"jaraizdelavera-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"jerezdeloscaballeros-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"larioja.com","vocento","larioja","amp","oustream","invibes"
"lasprovincias.es","vocento","lasprovincias","amp","oustream","invibes"
"lavanguardia.com","godo","lavanguardia","amp","oustream","invibes"
"laverdad.es","vocento","laverdad","amp","oustream","invibes"
"lavozdigital.es","vocento","lavozdigital","amp","oustream","invibes"
"lazarza-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"lazubia-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"leonoticias.com","vocento","leonoticias","amp","oustream","invibes"
"levante-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"llerena-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"loja-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"lossantosdemaimona-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"loteria-elcomercio-es.cdn.ampproject.org","vocento","elcomercio","amp","oustream","invibes"
"malagacf-diariosur-es.cdn.ampproject.org","vocento","diariosur","amp","oustream","invibes"
"malpartidadecaceres-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"maracena-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"miajadas-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"mirandes-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"monesterio-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"mujerhoy.com","vocento","mujerhoy","amp","oustream","invibes"
"mundodeportivo.com","godo","mundodeportivo","amp","oustream","invibes"
"navalmoral-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"olivenza-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"puebladelacalzada-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
