coso,publisher,site,canal,format,position,origen
"H2nAA81NqR","canarias7","canarias7","any","display","ldb","richaudience"
"tv01pjNpIi","canarias7","canarias7","any","display","ldb.2","richaudience"
"mV8Kudono7","canarias7","canarias7","any","display","ldb.3","richaudience"
"0tLS09t90L","canarias7","canarias7","any","display","ldb.4","richaudience"
"3sY7oIt6tC","canarias7","canarias7","any","display","ldb.5","richaudience"
"EYuOmoFxy7","canarias7","canarias7","any","display","ldb_local","richaudience"
"nCZlWsI34k","canarias7","canarias7","any","display","mpu","richaudience"
"NybSiFG6Kh","canarias7","canarias7","any","display","mpu.10","richaudience"
"jDNyOGVy15","canarias7","canarias7","any","display","mpu.2","richaudience"
"ciNhrFMt7G","canarias7","canarias7","any","display","mpu.3","richaudience"
"Dwg9XLUCdp","canarias7","canarias7","any","display","mpu.4","richaudience"
"yoZvUOOva6","canarias7","canarias7","any","display","mpu.5","richaudience"
"jWtC2n3CBd","canarias7","canarias7","any","display","mpu.6","richaudience"
"vJniMuXgqG","canarias7","canarias7","any","display","mpu.7","richaudience"
"8akBUahtH3","canarias7","canarias7","any","display","mpu.8","richaudience"
"DFF5E2KhlQ","canarias7","canarias7","any","display","mpu.9","richaudience"
"oTW7CCKR78","canarias7","canarias7","any","display","mpu_local","richaudience"
"bTUBWt60JO","canarias7","canarias7","any","display","mpu_local.10","richaudience"
"zSJ4rKqc5X","canarias7","canarias7","any","display","mpu_local.2","richaudience"
"zIn9wb8Jkn","canarias7","canarias7","any","display","mpu_local.3","richaudience"
"7f72IWTQZU","canarias7","canarias7","any","display","mpu_local.4","richaudience"
"j4cazVft87","canarias7","canarias7","any","display","mpu_local.5","richaudience"
"fmKXBK4A7y","canarias7","canarias7","any","display","mpu_local.6","richaudience"
"0ILtyrKVtj","canarias7","canarias7","any","display","mpu_local.7","richaudience"
"17xePIKGNT","canarias7","canarias7","any","display","mpu_local.8","richaudience"
"CYkWg4djKo","canarias7","canarias7","any","display","mpu_local.9","richaudience"
"gIBR2zCSl5","canarias7","canarias7","any","display","skyd","richaudience"
"r3uRjschdx","canarias7","canarias7","any","display","skyi","richaudience"
"7W7BRXeD8w","canarias7","canarias7","any","instream","Posv","richaudience"
"mpMCSnCPPC","canarias7","canarias7","any","instream","Prev","richaudience"
"xXxdxtE2Ni","canarias7","canarias7","any","outstream","Outv","richaudience"
"5gmBTLwygk","canarias7","canarias7","any","skin","Skin","richaudience"
"3kD2CDEr07","canarias7","canarias7","any","skin","Skin","richaudience"
"2WplAcrlq3","godo","lavanguardia","mob","display","ldb","richaudience"
"zazeqaSW8T","godo","lavanguardia","mob","display","ldb","richaudience"
"1iScLPMoLo","godo","lavanguardia","mob","display","mpu.1","richaudience"
"0LKk8ZKsTf","godo","lavanguardia","mob","display","mpu.10","richaudience"
"0dt7sVXAXR","godo","lavanguardia","mob","display","mpu.11","richaudience"
"1dYSB4uSs8","godo","lavanguardia","mob","display","mpu.12","richaudience"
"iVLqbdb8dr","godo","lavanguardia","mob","display","mpu.13","richaudience"
"1Eue8W2XfG","godo","lavanguardia","mob","display","mpu.2","richaudience"
"9Mi63k6CIa","godo","lavanguardia","mob","display","mpu.2","richaudience"
"WmnO7luEEZ","godo","lavanguardia","mob","display","mpu.3","richaudience"
"uqeSuo1iCI","godo","lavanguardia","mob","display","mpu.3","richaudience"
"1HqXv4JGtq","godo","lavanguardia","mob","display","mpu.4","richaudience"
"sM86itsoVd","godo","lavanguardia","mob","display","mpu.4","richaudience"
"0VXyKbIyBV","godo","lavanguardia","mob","display","mpu.5","richaudience"
"Esz4Y4xsRT","godo","lavanguardia","mob","display","mpu.5","richaudience"
"8Up4VbOvxw","godo","lavanguardia","mob","display","mpu.6","richaudience"
"0eh28AwGfD","godo","lavanguardia","mob","display","mpu.6","richaudience"
"skrDZG7x5f","godo","lavanguardia","mob","display","mpu.7","richaudience"
