coso	publisher	site	origen
es_intxt_wemass-abc_html5#es002790	vocento	abc	smartclip
es_intxt_wemass-abcsevilla_html5#es002790	vocento	abcsevilla	smartclip
es_intxt_wemass-as_html5#es002790	prisa	as	smartclip
es_intxt_wemass-as-ejerciciosencasa_html5#es002790	prisa	as_ejerciciosencasa	smartclip
es_intxt_wemass-as-esports_html5#es002790	prisa	as_esports	smartclip
es_intxt_wemass-as-futbol_html5#es002790	prisa	as_futbol	smartclip
es_intxt_wemass-as-motor_html5#es002790	prisa	as_motor	smartclip
es_intxt_wemass-as-tikitakas_html5#es002790	prisa	as_tikitakas	smartclip
es_intxt_wemass_biwenger_html5#es002790	prisa	biwenger	smartclip
es_intxt_wemass-biwenger_html5#es002790	prisa	biwenger	smartclip
es_intxt_wemass-burgosconecta_html5#es002790	vocento	burgosconecta	smartclip
es_intxt_wemass-cadenaser_html5#es002790	prisa	cadenaser	smartclip
es_intxt_wemass-canarias7_html5#es002790	canarias7	canarias7	smartclip
es_intxt_wemass-diariosur_html5#es002790	vocento	diariosur	smartclip
es_intxt_wemass-diariovasco_html5#es002790	vocento	diariovasco	smartclip
es_intxt_wemass-elbierzonoticias_html5#es002790	vocento	elbierzonoticias	smartclip
es_intxt_wemass-elcomercio_html5#es002790	vocento	elcomercio	smartclip
es_intxt_wemass-elcorreo_html5#es002790	vocento	elcorreo	smartclip
es_intxt_wemass-diariomontañes_html5#es002790	vocento	eldiariomontanes	smartclip
es_intxt_wemass-elnortedecastilla_html5#es002790	vocento	elnortedecastilla	smartclip
es_intxt_wemass-elpais_html5#es002790	prisa	elpais	smartclip
es_intxt_wemass-buenavida_html5#es002790	prisa	elpais_buenavida	smartclip
es_intxt_wemass-elpais-cat_html5#es002790	prisa	elpais_cat	smartclip
es_intxt_wemass-elcomidista_html5#es002790	prisa	elpais_comidista	smartclip
es_intxt_wemass-elpais-cultura_html5#es002790	prisa	elpais_cultura	smartclip
es_intxt_wemass-elpais-deportes_html5#es002790	prisa	elpais_deportes	smartclip
es_intxt_wemass-elpais-viajero_html5#es002790	prisa	elpais_elviajero	smartclip
es_intxt_wemass-elpais-eps_html5#es002790	prisa	elpais_eps	smartclip
es_intxt_wemass-elpais-estilo_html5#es002790	prisa	elpais_estilo	smartclip
es_intxt_wemass-elpais-cincodias_html5#es002790	prisa	elpais_finanzas_cincodias	smartclip
es_intxt_wemass-elpais-economia_html5#es002790	prisa	elpais_finanzas_economia	smartclip
es_intxt_wemass-elpais-retina_html5#es002790	prisa	elpais_finanzas_retina	smartclip
es_intxt_wemass-elpais-gente_html5#es002790	prisa	elpais_gente	smartclip
es_intxt_wemass-elpais-icon_html5#es002790	prisa	elpais_icon	smartclip
es_intxt_wemass-elpais-icondesign_html5#es002790	prisa	elpais_icon_design	smartclip
es_intxt_wemass-elpais-motor_html5#es002790	prisa	elpais_motor	smartclip
es_intxt_wemass-elpais-smoda_html5#es002790	prisa	elpais_smoda	smartclip
es_intxt_wemass-elpais-tech_html5#es002790	prisa	elpais_tecnologia	smartclip
es_intxt_wemass-elpais-tentaciones_html5#es002790	prisa	elpais_tentaciones	smartclip
es_intxt_wemass-elpais-verne_html5#es002790	prisa	elpais_verne	smartclip
es_intxt_wemass-hola_html5#es002790	hola	hola	smartclip
es_intxt_wemass-hoy_html5#es002790	vocento	hoy	smartclip
es_intxt_wemass-huffingtonpost_html5#es002790	prisa	huffingtonpost	smartclip
es_intxt_wemass_strambotic_html5#es002790	prisa	huffingtonpost_strambotic	smartclip
es_intxt_wemass-ideal_html5#es002790	vocento	ideal	smartclip
es_intxt_wemass-larioja_html5#es002790	vocento	larioja	smartclip
es_intxt_wemass-lasprovincias_html5#es002790	vocento	lasprovincias	smartclip
es_intxt_wemass-lavanguardia_html5#es002790	godo	lavanguardia	smartclip
es_intxt_wemass-laverdad_html5#es002790	vocento	laverdad	smartclip
es_intxt_wemass-lavozdeasturias_html5#es002790	lavozdegalicia	lavozdeasturias	smartclip
es_intxt_wemass-lavozdegalicia_html5#es002790	lavozdegalicia	lavozdegalicia	smartclip
es_intxt_wemass-lavozdigital_html5#es002790	vocento	lavozdigital	smartclip
es_intxt_wemass-leonnoticias_html5#es002790	vocento	leonoticias	smartclip
es_intxt_wemass-los40_html5#es002790	prisa	los40	smartclip
es_intxt_wemass_meristation_html5#es002790	prisa	meristation	smartclip
es_intxt_wemass-meristation_html5#es002790	prisa	meristation	smartclip
es_intxt_wemass-mujerhoy_html5#es002790	vocento	mujerhoy	smartclip
es_intxt_wemass-mundodeportivo_html5#es002790	godo	mundodeportivo	smartclip
es_intxt_wemass-rac1_html5#es002790	godo	rac1	smartclip
es_intxt_wemass-tuotrodiario_html5#es002790	hola	tuotrodiario	smartclip
es_intxt_wemass-xlsemanal_html5#es002790	vocento	xlsemanal	smartclip
