coso	publisher	site	medio	type	origen
[AMP] WM_abc.es Intext	Vocento	abc	video	passback	adman
WM_abc.es Display Pi	Vocento	abc	display	passback	adman
WM_abc.es Intext	Vocento	abc	video	passback	adman
WM_abc.es Stop Player	Vocento	abc	video	passback	adman
[HB] WM_abc.es Video	Vocento	abc	video	prebid	adman
WM_abc.es	vocento	abc	video	prebid	adman
[HB] WMVocento_sevilla.abc.es Display	Vocento	abcsevilla	display	prebid	adman
WMVocento_sevilla.abc.es Display Pi	Vocento	abcsevilla	display	passback	adman
WMVocento_sevilla.abc.es Intext	Vocento	abcsevilla	video	passback	adman
[HB] WMVocento_sevilla.abc.es Video	Vocento	abcsevilla	video	prebid	adman
WMVocento_sevilla.abc.es	vocento	abcsevilla	video	prebid	adman
WMPrisa_as.com Display Pi	Prisa	as	display	passback	adman
WMPrisa_as.com Intext	Prisa	as	video	passback	adman
[HB] WMPrisa_as.com Video	Prisa	as	video	prebid	adman
WMPrisa_as.com	prisa	as	video	prebid	adman
WMPrisa_ejerciciosencasa.as.com Intext	Prisa	as_ejerciciosencasa	video	passback	adman
[HB] WMPrisa_ejerciciosencasa.as.com Video	Prisa	as_ejerciciosencasa	video	prebid	adman
WMPrisa_ejerciciosencasa.as.com	prisa	as_ejerciciosencasa	video	prebid	adman
WMPrisa_esports.as.com Display Pi	Prisa	as_esports	display	passback	adman
WMPrisa_esports.as.com Intext	Prisa	as_esports	video	passback	adman
[HB] WMPrisa_esports.as.com Video	Prisa	as_esports	video	prebid	adman
WMPrisa_esports.as.com	prisa	as_esports	video	prebid	adman
WMPrisa_AS_Motor Intext	Prisa	as_motor	video	passback	adman
[HB] WMPrisa_AS_Motor Video	Prisa	as_motor	video	prebid	adman
WMPrisa_as.com/motor	prisa	as_motor	video	prebid	adman
WMPrisa_Tikitakas Intext	Prisa	as_tikitakas	video	passback	adman
[HB] WMPrisa_Tikitakas Video	Prisa	as_tikitakas	video	prebid	adman
WMPrisa_as.com_Tikitakas	prisa	as_tikitakas	video	prebid	adman
WMPrisa_biwenger.as.com	prisa	biwenger	video	prebid	adman
WMPrisa_biwenger.as.com Intext	prisa	biwenger	video	passback	adman
[HB] WMPrisa_biwenger.as.com Video	prisa	biwenger	video	prebid	adman
WMVocento_burgosconecta.es Display Pi	Vocento	burgosconecta	display	passback	adman
WMVocento_burgosconecta.es Intext	Vocento	burgosconecta	video	passback	adman
[HB] WMVocento_burgosconecta.es Video	Vocento	burgosconecta	video	prebid	adman
WMVocento_burgosconecta.es	vocento	burgosconecta	video	prebid	adman
WMPrisa_cadenaser.com Display Pi	Prisa	cadenaser	display	passback	adman
