coso	site	channel	origen
/100151972/	sin identificar		amazonPrisa
/7811748/as_mob/50aniversario/especiales	as		amazonPrisa
/7811748/as_mob/america	as		amazonPrisa
/7811748/as_mob/apuestas/noticias	as		amazonPrisa
/7811748/as_mob/argentina/actualidad	as		amazonPrisa
/7811748/as_mob/argentina/actualidad/portada	as		amazonPrisa
/7811748/as_mob/argentina/directo	as		amazonPrisa
/7811748/as_mob/argentina/fotogalerias	as		amazonPrisa
/7811748/as_mob/argentina/futbol	as		amazonPrisa
/7811748/as_mob/argentina/infografia	as		amazonPrisa
/7811748/as_mob/argentina/masdeporte	as		amazonPrisa
/7811748/as_mob/argentina/portada	as		amazonPrisa
/7811748/as_mob/argentina/reportajes	as		amazonPrisa
/7811748/as_mob/argentina/tikitakas	as		amazonPrisa
/7811748/as_mob/argentina/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/argentina/videos	as		amazonPrisa
/7811748/as_mob/as/actualidad	as		amazonPrisa
/7811748/as_mob/as/actualidad/portada	as		amazonPrisa
/7811748/as_mob/as/directo	as		amazonPrisa
/7811748/as_mob/ascolor/opinion	as		amazonPrisa
/7811748/as_mob/ascolor/portada	as		amazonPrisa
/7811748/as_mob/baloncesto	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/acb	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/acb/portada	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/copa_del_rey	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/directo	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/eurobasket	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/eurobasket_femenino	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/eurocup	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/euroliga	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/euroliga/portada	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/infografia	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/mas_baloncesto	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/mundial	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/portada	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/reportajes	as_baloncesto		amazonPrisa
/7811748/as_mob/baloncesto/videos	as_baloncesto		amazonPrisa
/7811748/as_mob/buenavida	as_buenavida		amazonPrisa
/7811748/as_mob/buenavida/fotorrelato	as_buenavida		amazonPrisa
/7811748/as_mob/buenavida/portada	as_buenavida		amazonPrisa
/7811748/as_mob/buscador	as		amazonPrisa
/7811748/as_mob/chile/actualidad	as		amazonPrisa
/7811748/as_mob/chile/actualidad/portada	as		amazonPrisa
/7811748/as_mob/chile/deporte_femenino	as		amazonPrisa
/7811748/as_mob/chile/deporte_femenino/portada	as		amazonPrisa
/7811748/as_mob/chile/deportes_aventura	as		amazonPrisa
/7811748/as_mob/chile/directo	as		amazonPrisa
/7811748/as_mob/chile/fotogalerias	as		amazonPrisa
/7811748/as_mob/chile/futbol	as		amazonPrisa
/7811748/as_mob/chile/futbol/portada	as		amazonPrisa
/7811748/as_mob/chile/masdeporte	as		amazonPrisa
/7811748/as_mob/chile/masdeporte/portada	as		amazonPrisa
/7811748/as_mob/chile/movil	as		amazonPrisa
/7811748/as_mob/chile/opinion	as		amazonPrisa
/7811748/as_mob/chile/opinion/portada	as		amazonPrisa
/7811748/as_mob/chile/portada	as		amazonPrisa
/7811748/as_mob/chile/reportajes	as		amazonPrisa
/7811748/as_mob/chile/tikitakas	as		amazonPrisa
/7811748/as_mob/chile/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/chile/videos	as		amazonPrisa
/7811748/as_mob/ciclismo	as		amazonPrisa
/7811748/as_mob/ciclismo/directo	as		amazonPrisa
/7811748/as_mob/ciclismo/giro_de_italia	as		amazonPrisa
/7811748/as_mob/ciclismo/giro_de_italia/portada	as		amazonPrisa
/7811748/as_mob/ciclismo/infografia	as		amazonPrisa
/7811748/as_mob/ciclismo/mundial	as		amazonPrisa
/7811748/as_mob/ciclismo/portada	as		amazonPrisa
/7811748/as_mob/ciclismo/reportajes	as		amazonPrisa
/7811748/as_mob/ciclismo/tour_de_francia	as		amazonPrisa
/7811748/as_mob/ciclismo/tour_de_francia/portada	as		amazonPrisa
/7811748/as_mob/ciclismo/videos	as		amazonPrisa
/7811748/as_mob/ciclismo/vuelta_a_espana	as		amazonPrisa
/7811748/as_mob/ciclismo/vuelta_a_espana/portada	as		amazonPrisa
/7811748/as_mob/colombia/actualidad	as		amazonPrisa
/7811748/as_mob/colombia/actualidad/portada	as		amazonPrisa
/7811748/as_mob/colombia/deporteyvida/portada	as		amazonPrisa
/7811748/as_mob/colombia/directo	as		amazonPrisa
/7811748/as_mob/colombia/fotogalerias	as		amazonPrisa
/7811748/as_mob/colombia/fotorrelato	as		amazonPrisa
/7811748/as_mob/colombia/futbol	as		amazonPrisa
/7811748/as_mob/colombia/futbol/portada	as		amazonPrisa
/7811748/as_mob/colombia/masdeporte	as		amazonPrisa
/7811748/as_mob/colombia/masdeporte/portada	as		amazonPrisa
/7811748/as_mob/colombia/opinion	as		amazonPrisa
/7811748/as_mob/colombia/opinion/portada	as		amazonPrisa
/7811748/as_mob/colombia/portada	as		amazonPrisa
/7811748/as_mob/colombia/reportajes	as		amazonPrisa
/7811748/as_mob/colombia/tikitakas	as		amazonPrisa
/7811748/as_mob/colombia/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/colombia/videos	as		amazonPrisa
/7811748/as_mob/deportes_accion	as		amazonPrisa
/7811748/as_mob/deportes_accion/agua	as		amazonPrisa
/7811748/as_mob/deportes_accion/mas_accion	as		amazonPrisa
/7811748/as_mob/deportes_accion/mas_deportes	as		amazonPrisa
/7811748/as_mob/deportes_accion/mtb	as		amazonPrisa
/7811748/as_mob/deportes_accion/portada	as		amazonPrisa
/7811748/as_mob/deportes_accion/reportajes	as		amazonPrisa
/7811748/as_mob/deportes_accion/snow	as		amazonPrisa
/7811748/as_mob/deportes_accion/surf	as		amazonPrisa
/7811748/as_mob/deportes_accion/surf/portada	as		amazonPrisa
/7811748/as_mob/deportes_accion/tierra	as		amazonPrisa
/7811748/as_mob/deportes_accion/urbano	as		amazonPrisa
/7811748/as_mob/deporteyvida/videos	as		amazonPrisa
/7811748/as_mob/diarioas/actualidad	as	mob	amazonPrisa
/7811748/as_mob/diarioas/actualidad/portada	as	mob	amazonPrisa
/7811748/as_mob/diarioas/directo	as	mob	amazonPrisa
/7811748/as_mob/en/directo	as		amazonPrisa
/7811748/as_mob/en/football	as		amazonPrisa
/7811748/as_mob/en/football/portada	as		amazonPrisa
/7811748/as_mob/en/infografia	as		amazonPrisa
/7811748/as_mob/en/latest_news	as		amazonPrisa
/7811748/as_mob/en/latest_news/portada	as		amazonPrisa
/7811748/as_mob/en/opinion	as		amazonPrisa
/7811748/as_mob/en/opinion/portada	as		amazonPrisa
/7811748/as_mob/en/other_sports	as		amazonPrisa
/7811748/as_mob/en/other_sports/portada	as		amazonPrisa
/7811748/as_mob/en/portada	as		amazonPrisa
/7811748/as_mob/en/reportajes	as		amazonPrisa
/7811748/as_mob/en/videos	as		amazonPrisa
/7811748/as_mob/encuestas	as		amazonPrisa
/7811748/as_mob/entrevistas	as		amazonPrisa
/7811748/as_mob/entrevistas/portada	as		amazonPrisa
/7811748/as_mob/epik	as_epik		amazonPrisa
/7811748/as_mob/epik/portada	as_epik		amazonPrisa
/7811748/as_mob/epik/videos	as_epik		amazonPrisa
/7811748/as_mob/esports/counter_strike	as_esports		amazonPrisa
/7811748/as_mob/esports/hearthstone	as_esports		amazonPrisa
/7811748/as_mob/esports/league_of_legends	as_esports		amazonPrisa
/7811748/as_mob/esports/mas_esports	as_esports		amazonPrisa
/7811748/as_mob/esports/portada	as_esports		amazonPrisa
/7811748/as_mob/esports/portada/portada	as_esports		amazonPrisa
/7811748/as_mob/fotogalerias/baloncesto	as		amazonPrisa
/7811748/as_mob/fotogalerias/buenavida	as		amazonPrisa
/7811748/as_mob/fotogalerias/ciclismo	as		amazonPrisa
/7811748/as_mob/fotogalerias/deportes_accion	as		amazonPrisa
/7811748/as_mob/fotogalerias/en	as		amazonPrisa
/7811748/as_mob/fotogalerias/epik	as		amazonPrisa
/7811748/as_mob/fotogalerias/epik/equipo	as		amazonPrisa
/7811748/as_mob/fotogalerias/futbol	as		amazonPrisa
