coso	site	origen
/4900/webm.ABC/AMP/bienestar/alimentacion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/bienestar/alimentacion/dietas-saludables	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/bienestar/psicologia-sexo/psicologia/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/canarias	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/catalunya	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/ciencia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/comunidad_valenciana	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/cultura	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/cultura/libros	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/cultura/toros	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/deportes/atletico-madrid	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/deportes/ciclismo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/deportes/futbol	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/espana	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/familia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/gastronomia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/gente	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/gente/gossip	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/historia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/internacional	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/internacional/unioneuropea	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/madrid	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/motor	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/opinion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/television/criticas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/television/noticias	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/portada	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/recreo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/salud	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/sociedad	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/toledo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/viajar	abc	amazonVocentoSlotname
vocento.abc-megabanner_dos	abc	amazonVocentoSlotname
vocento.abc-megabanner_tres	abc	amazonVocentoSlotname
vocento.abc-robapaginas	abc	amazonVocentoSlotname
vocento.abc-robapaginas_dos	abc	amazonVocentoSlotname
vocento.abc-robapaginas_tres	abc	amazonVocentoSlotname
