coso	site	channel	format	origen
-415	sin identificar		display	criteoSubid
-405	sin identificar		display	criteoSubid
-395	sin identificar		display	criteoSubid
-385	sin identificar		display	criteoSubid
-375	sin identificar		display	criteoSubid
-365	sin identificar		display	criteoSubid
-355	sin identificar		display	criteoSubid
-345	sin identificar		display	criteoSubid
-335	sin identificar		display	criteoSubid
-325	sin identificar		display	criteoSubid
-315	sin identificar		display	criteoSubid
-305	sin identificar		display	criteoSubid
-295	sin identificar		display	criteoSubid
-285	sin identificar		display	criteoSubid
-275	sin identificar		display	criteoSubid
-265	sin identificar		display	criteoSubid
-255	sin identificar		display	criteoSubid
-245	sin identificar		display	criteoSubid
-235	sin identificar		display	criteoSubid
-225	sin identificar		display	criteoSubid
-215	sin identificar		display	criteoSubid
-205	sin identificar		display	criteoSubid
-195	sin identificar		display	criteoSubid
-185	sin identificar		display	criteoSubid
-175	sin identificar		display	criteoSubid
-165	sin identificar		display	criteoSubid
-155	sin identificar		display	criteoSubid
-145	sin identificar		display	criteoSubid
-135	sin identificar		display	criteoSubid
-125	sin identificar		display	criteoSubid
-115	sin identificar		display	criteoSubid
-105	sin identificar		display	criteoSubid
-95	sin identificar		display	criteoSubid
-85	sin identificar		display	criteoSubid
-75	sin identificar		display	criteoSubid
-65	sin identificar		display	criteoSubid
-55	sin identificar		display	criteoSubid
%blockName%-ldb1	biwenger		display	criteoSubid
%blockName%-ldb3	biwenger		display	criteoSubid
%blockName%-mldb2	biwenger		display	criteoSubid
%blockName%-mpu1	biwenger		display	criteoSubid
%blockName%-mpu2	biwenger		display	criteoSubid
%blockName%-mpu3	biwenger		display	criteoSubid
%blockName%-nstd1	biwenger		display	criteoSubid
%blockName%-sky1	biwenger		display	criteoSubid
%blockName%-sky2	biwenger		display	criteoSubid
%blockNamePart2%-ldb1	biwenger		display	criteoSubid
%blockNamePart2%-ldb3	biwenger		display	criteoSubid
%blockNamePart2%-mldb2	biwenger		display	criteoSubid
%blockNamePart2%-mpu1	biwenger		display	criteoSubid
%blockNamePart2%-mpu2	biwenger		display	criteoSubid
%blockNamePart2%-mpu3	biwenger		display	criteoSubid
%blockNamePart2%-nstd1	biwenger		display	criteoSubid
%blockNamePart2%-sky1	biwenger		display	criteoSubid
%blockNamePart2%-sky2	biwenger		display	criteoSubid
/7811748/biwenger_app/android/account-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/challenges-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/challenges-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/comparator-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/comparator-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/comparator-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/draft-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/draft-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/group-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/group-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/group-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/home-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/home-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/home-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/join-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/league-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/league-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/league-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/league-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/market-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/market-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/market-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/market-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/marketStats-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/marketStats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/match-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/match-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/match-mpu3	biwenger	app	display	criteoSubid
