coso	publisher	site	channel	format	origen
abc.es	vocento	abc	amp		invibes
adra-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
alaves-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
alcalalareal-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
almanzora-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
andujar-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
armilla-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
arroyodelaluz-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
athletic-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
baskonia-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
baza-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
bilbaobasket-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
blogs-mujerhoy-com.cdn.ampproject.org	vocento	mujerhoy	amp		invibes
burgosconecta.es	vocento	burgosconecta	amp		invibes
calamonte-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
campanario-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
canarias7.es	canarias7	canarias7	amp		invibes
casardecaceres-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
castuera-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
cazorla-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
churrianadelavega-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
clasica--san--sebastian-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
coria-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
cosaspracticas-lasprovincias-es.cdn.ampproject.org	vocento	lasprovincias	amp		invibes
diariosur.es	vocento	diariosur	amp		invibes
diariovasco.com	vocento	diariovasco	amp		invibes
digitales-larioja-com.cdn.ampproject.org	vocento	larioja	amp		invibes
elbierzonoticias.com	vocento	elbierzonoticias	amp		invibes
elcomercio.es	vocento	elcomercio	amp		invibes
elcorreo.com	vocento	elcorreo	amp		invibes
eldiariomontanes.es	vocento	eldiariomontanes	amp		invibes
elejido-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
elnortedecastilla.es	vocento	elnortedecastilla	amp		invibes
fashion-hola-com.cdn.ampproject.org	vocento	hola	amp		invibes
fccartagena-laverdad-es.cdn.ampproject.org	vocento	laverdad	amp		invibes
fregenal-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
fuentedecantos-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
gourmet-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
guadix-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
guarena-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
herreradelduque-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
hola.com	hola	hola	amp		invibes
hoy.es	vocento	hoy	amp		invibes
huetorvega-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
ideal.es	vocento	ideal	amp		invibes
innovando-larioja-com.cdn.ampproject.org	vocento	larioja	amp		invibes
jaraizdelavera-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
jerezdeloscaballeros-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
larioja.com	vocento	larioja	amp		invibes
lasprovincias.es	vocento	lasprovincias	amp		invibes
lavanguardia.com	godo	lavanguardia	amp		invibes
laverdad.es	vocento	laverdad	amp		invibes
lavozdigital.es	vocento	lavozdigital	amp		invibes
lazarza-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
lazubia-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
leonoticias.com	vocento	leonoticias	amp		invibes
levante-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
llerena-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
loja-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
lossantosdemaimona-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
loteria-elcomercio-es.cdn.ampproject.org	vocento	elcomercio	amp		invibes
malagacf-diariosur-es.cdn.ampproject.org	vocento	diariosur	amp		invibes
malpartidadecaceres-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
maracena-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
